PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23746605","Socioeconomic inequalities and mental health problems in children and adolescents: a systematic review","Reiss F.","Soc Sci Med. 2013 Aug;90:24-31. doi: 10.1016/j.socscimed.2013.04.026. Epub 2013 May 4.","Reiss F","Soc Sci Med","2013","2013/06/11","","","10.1016/j.socscimed.2013.04.026"
"16903807","An interactionist perspective on the socioeconomic context of human development","Conger RD, Donnellan MB.","Annu Rev Psychol. 2007;58:175-99. doi: 10.1146/annurev.psych.58.110405.085551.","Conger RD","Annu Rev Psychol","2007","2006/08/15","","","10.1146/annurev.psych.58.110405.085551"
"1840741","Depression in women","Paykel ES.","Br J Psychiatry Suppl. 1991 May;(10):22-9.","Paykel ES","Br J Psychiatry Suppl","1991","1991/05/01","","",""
"37720820","Social causation, social selection, and economic selection in the health outcomes of Chinese older adults and their gender disparities","Zhang K, Xu X, You H.","SSM Popul Health. 2023 Sep 9;24:101508. doi: 10.1016/j.ssmph.2023.101508. eCollection 2023 Dec.","Zhang K","SSM Popul Health","2023","2023/09/18","PMC10500472","","10.1016/j.ssmph.2023.101508"
"17324086","Representing causation","Wolff P.","J Exp Psychol Gen. 2007 Feb;136(1):82-111. doi: 10.1037/0096-3445.136.1.82.","Wolff P","J Exp Psychol Gen","2007","2007/02/28","","","10.1037/0096-3445.136.1.82"
"31408171","Social Causation, Social Selection, or Common Determinants? Examining Competing Explanations for the Link Between Young Adult Unemployment and Nicotine Dependence","Lee JO, Horwood LJ, Lee WJ, Hackman DA, McLeod GF, Boden JM.","Nicotine Tob Res. 2020 Oct 29;22(11):2006-2013. doi: 10.1093/ntr/ntz131.","Lee JO","Nicotine Tob Res","2020","2019/08/14","","","10.1093/ntr/ntz131"
"32087488","Social causation or social selection? The longitudinal interrelationship between poverty and depressive symptoms in China","Jin Y, Zhu D, He P.","Soc Sci Med. 2020 Mar;249:112848. doi: 10.1016/j.socscimed.2020.112848. Epub 2020 Feb 19.","Jin Y","Soc Sci Med","2020","2020/02/23","","","10.1016/j.socscimed.2020.112848"
"23990406","Migraine and the social selection vs causation hypotheses: a question larger than either/or?","Peterlin BL, Scher AI.","Neurology. 2013 Sep 10;81(11):942-3. doi: 10.1212/WNL.0b013e3182a43ea7. Epub 2013 Aug 29.","Peterlin BL","Neurology","2013","2013/08/31","PMC4703078","NIHMS566021","10.1212/WNL.0b013e3182a43ea7"
"15863737","Immigration and schizophrenia: the social causation hypothesis revisited","Cooper B.","Br J Psychiatry. 2005 May;186:361-3. doi: 10.1192/bjp.186.5.361.","Cooper B","Br J Psychiatry","2005","2005/05/03","","","10.1192/bjp.186.5.361"
"34551635","Does social isolation affect physical and mental health? A test of the social causation hypothesis using dynamic panel models with fixed effects","Seifert N, Seddig D, Eckhard J.","Aging Ment Health. 2022 Jul;26(7):1353-1367. doi: 10.1080/13607863.2021.1961125. Epub 2021 Sep 23.","Seifert N","Aging Ment Health","2022","2021/09/23","","","10.1080/13607863.2021.1961125"
"29331699","Simultaneous social causation and social drift: Longitudinal analysis of depression and poverty in South Africa","Lund C, Cois A.","J Affect Disord. 2018 Mar 15;229:396-402. doi: 10.1016/j.jad.2017.12.050. Epub 2017 Dec 28.","Lund C","J Affect Disord","2018","2018/01/15","","","10.1016/j.jad.2017.12.050"
